,MW,MVAr,,,MW,MVAr,MW %,,,,,,,,,,,
K-M Complex Hydro,281.3,63.9,,"2Hydro",1223.6,143,48.80%,,,,,,,,,,,
Mahaweli Complex Hydro,689.252.3,,Thermal Coal,466.2,72.2,18.60%,,,,,,,,,,,,
Samanala Hydro,154.5,26.8,,Thermal Oil,192,70.5,7.70%,,,,,,,,,,,
CEB Small Hydro,8.7,0,,IPP Thermal,617.2,114.9,24.60%,,,,,,,,,,,
CEB Thermal - Coal,466.2,72.2,,Wind,8,0,0.30%,,,,,,,,,,,
CEB Thermal- Oil,192,70.5,,Solar PV(Bulk),0,0,0.00%,,,,,,,,,,,
IPP Thermal,617.2,114.9,,Capacitors,,79.2,,,,,,,,,,,,
"2IPP  (MHP+BMP)",89.9,N/A,,Total,2507,479.8,pf -0.98@19:00h,,,,,,,,,,,
Wind,8,0,,"22Day Peak  and Minimum  Generation",,,,,,,,,,,,,,
,,,,,MW,MVAr,,,,,,,,,,,,
Capacitors,-,79.2,,"2Minimum Generation",1379.4,-31.1,pf -1.00@3:15h,,,,,,,,,,,
,"2Day peak Generation",2159.4,728.3,pf -0.95@16:00h,,,,,,,,,,,,,,
"Hydrology- Hydro Storage, Rainfall, Inflow",,,,,,,,,,,,,,,,,,
,1,43.5 9,716 45,,,,,,3,0 0,0,0,,FO,25.08.20 -,,Air distributor breakdown,
Polpitiya,,,,,,,,,,,,,,,,,,
,2,42.6 6,797 45,,,,,,4,0 0,0,0,,PM,27.07.20 02.09.20,,3000 hrs maintenance,
TOTAL (Laxapana),,281 64,5376 352.2,,,,,,5,9 4,206,9,,,,,,
Mahaweli Complex,,,,,,,,,6,0 0,0,0,,PM,06.08.20 07.09.20,,24000 hrs maintenance,
,1,38 -1,630 67,,,,,,7,9 5,215,9,,,,,,
Kotmale,2,41 -2,830 67,,,,,9Sapu. Station - B,8,7 4,1A7va8ilable,,,,,,,
,1c9ap6acity3,38 -7,750 67,,,,,,9,8 5,,9,,,,,,
,,,,,,,,,,,1,,,,,,,
,1,78 10,1273 80,,,,,,10,8 5,19(M6W),9,,,,,,
Victoria,2,78 20,1140 80,,,,,,11,9 2,2R0ea8son if,9,,,,,,
,3,80 14,1207 80,,,,,,12,8 5,u1n8/p7artially 9,,,,,,,
,1,41 1,22 35,,,,,Lakvijaya PS,,,available,,,,,,,
Randenigala,,,,,,,,,,,,,,,,,,
,2,39 1,97 35,,,,,,1,0 0,0,0,,FO,17.08.20 -,,Turbine LP side diaphragm repairing,
,1,15 2,22 25,,,,,Lakvijaya PS,2,269 40,6477,270,,,,,,
Rantambe,,,,,,,,,,,,,,,,,,
,2,14 0,16 25,,,,,,3,197 32,4752,200,,PA,24.08.20 -,,CW pump failure,
,1,19 0,438 18,,,,,Other,,,,,,,,,,
Ukuwela,,,,,,,,,,,,,,,,,,
,2,17 8,395 18,,,,,Uthuru Janani,,22 0,516,23,,,,,,
Bowathenna,,39 11,462 40,,,,,Power Barge,,60 29,1448,60,,,,,,
,1,76 -2,944 75,,,,,Sup-Thulhiriya,,6.4 0,86,8,,,,,,
Upper Kotmale,,,,,,,,,,,,,,,,,,
,2,76 -2,1063 75,,,,,Sup-Kolonnawa,,15.2 0,198,16,,,,,,
Nillambe,,3.2 0,2 3.2,,,,,Sup-Matugama,,14.4 0,180,16,,,,,,
,,,,,,,,TOTAL(CEB Thermal),,658 143,15367,824,,,,,,
,,,,,,,,,,,,,,IPP THERMAL,,,,
Total (Mahaweli),,692 52,9291 790,,,,,ACE Matara,,24 0,569,24,,,,,,
Samanala Complex,,,,,,,,Asia Power,,39 11,704,45,,,,,,
Samanalawewa,1,61 14,171 60,,,,,Sojitz Kelanitissa,,130 1,3033,130,,PA,25.08.20 -,,Commercial issue as per letter SKPL/CEB/KF/110821,
,2,41 0,52 40 PA,18.12.19,-,Due to operational restrictions,,West Coast,,276 87,6419,270,,,,,,
Kukule,1,26.2 6,311 37.5,,,,,Nothern Power,,0 0,0,0,,,,,Unavailable due to court order,
,2,26.7 7,79 37.5,,,,,ACE-Embilipitiya,,89 5,2054,79,,,,,,
Inginiyagala,,5.5 0,106 11.25,,,,,Vpower-Pallekele,,24 6,348,24,,,,,,
Udawalawe,,0 0,0 4,,,,,Vpower-Galle,,10 1,152,10,,,,,,
,,,,,,,,Vpower-Hamba.,,0 0,0,0,,,,,PPA expired at 24:00hrs on 24/08/2020,
TOTAL (Samanala),,160 27,719 190,,,,,Vpower-Horana,,24 4,358,24,,,,,,
2,,,,,,,,,,,,,,,,,,
IPP MHP +BMP,,90 0.00,N/A N/A,,,,,Altaaqa-Mahiya.,,0 0,0,0,,,,,PPA expired at 24:00hrs on 24/08/2020,
Wind,,8 0.00,727 N/A,,,,,Altaaqa-Polon.,,0 0,0,0,,,,,PPA expired at 24:00hrs on 24/08/2020,
Solar PV (Bulk),,0 0,316 N/A,,,,,,,,,,,,,,,
Breaker Switch Capacitors,,79,,,,,,TOTAL(IPP Thermal),,617 115,13637,606,,,,,,
,,1134 143,"15,387 1333",,,,,,,,Unit,,,,,,,
Total Hydro,,,,,,,,,,,,,,,,,,
,,MW MVAr,MWh MW,,,,,,,,,,,,,,,
,,98 0.00,"1,042.7 N/A",,,,,,,1275 258,29003 1430,,,,,,,
Total NCRE,,,,,,,,Total Thermal,,,,,,,,,,
,,MW MVAr,MWh,,,,,,,MW MVAr,MWh,MW,,,,,,
Total Energy during 24h,,,"45,433 MWh",,,,,,,,Abbreviations,,,,,,,
Total Night Peak,,,"2,507.0 MW",480,MVAr,SYSTEM CONTROL ENGINEER,,FO =,Forced Outage,,,,,,,,,
-1,,,,,,,,,,,,,,,,,,
Total Available Capacity,,,"2,763 MW",,,System Control Centre,,PM =,Planned Maintenance,,,,,,,,,
